,Date,crit1,crit2,crit3,crit4,crit5,crit6,crit7
120,2020-11-30,1,1,1,1,1,1,0
121,2020-12-07,1,1,1,1,1,1,0
122,2020-12-14,1,1,1,1,1,1,0
123,2020-12-21,1,1,1,1,1,1,0
124,2020-12-28,1,1,1,1,1,1,1
125,2021-01-04,1,1,1,1,1,1,0
126,2021-01-11,1,0,1,1,1,1,0
127,2021-01-18,1,1,1,1,1,1,1
128,2021-01-25,1,1,1,1,1,1,1
129,2021-02-01,1,1,1,1,1,1,0
130,2021-02-08,1,1,1,1,1,1,0
131,2021-02-15,1,1,1,1,1,1,0
132,2021-02-22,1,0,1,1,1,0,0
133,2021-03-01,1,0,1,1,0,1,0
134,2021-03-08,1,0,1,1,0,1,0
135,2021-03-15,1,0,1,1,0,1,0
136,2021-03-22,1,0,1,1,0,1,0
137,2021-03-29,1,0,1,1,0,1,0
138,2021-04-05,1,0,1,1,0,1,0
139,2021-04-12,0,0,1,1,0,1,0
140,2021-04-19,0,0,1,1,0,1,0
141,2021-04-26,1,0,1,1,0,1,0
142,2021-05-03,0,0,1,1,0,1,0
143,2021-05-10,0,0,1,1,0,1,0
144,2021-05-17,0,0,1,1,0,1,0
145,2021-05-24,0,0,1,1,0,1,0
146,2021-05-31,0,0,1,1,0,0,0
147,2021-06-07,0,0,1,1,0,0,0
148,2021-06-14,0,0,1,1,0,0,0
149,2021-06-21,0,0,1,1,0,0,0
150,2021-06-28,1,0,1,1,0,1,0
151,2021-07-05,1,0,1,1,0,1,0
152,2021-07-12,1,0,1,1,0,1,0
153,2021-07-19,1,0,1,1,0,1,0
154,2021-07-26,1,0,1,1,0,1,0
155,2021-08-02,1,0,1,1,0,1,0
156,2021-08-09,1,0,1,1,0,1,0
157,2021-08-12,1,0,1,1,0,1,0
